uid,replan_idx,agent,pos_x,pos_y,sg_x,sg_y,phase
n2_chain_096c9edb,0,0,9.108455,2.803939,6.426893,0.763361,0
n2_chain_096c9edb,0,1,8.812330,9.430222,6.834235,1.132918,0
n2_chain_096c9edb,1,0,8.719737,3.479306,6.426893,0.763361,0
n2_chain_096c9edb,1,1,8.878285,8.238370,6.834235,1.132918,0
n2_chain_096c9edb,2,0,7.868479,3.619746,6.426893,0.763361,0
n2_chain_096c9edb,2,1,8.845405,7.044052,6.834235,1.132918,0
n2_chain_096c9edb,3,0,7.006854,3.510318,6.426893,0.763361,0
n2_chain_096c9edb,3,1,8.810020,5.844642,6.834235,1.132918,0
n2_chain_096c9edb,4,0,6.623591,3.152768,6.426893,0.763361,0
n2_chain_096c9edb,4,1,8.161615,4.839193,6.834235,1.132918,0
n2_chain_096c9edb,5,0,6.522742,1.957017,6.426893,0.763361,0
n2_chain_096c9edb,5,1,7.291918,4.019717,6.834235,1.132918,0
n2_chain_096c9edb,6,0,6.417417,1.213262,6.426893,0.763361,0
n2_chain_096c9edb,6,1,6.595134,3.289837,6.834235,1.132918,0
n2_chain_096c9edb,7,0,5.976527,0.999447,6.426893,0.763361,0
n2_chain_096c9edb,7,1,6.635584,2.096707,6.834235,1.132918,0
n2_chain_096c9edb,8,0,5.912986,0.739281,6.426893,0.763361,0
n2_chain_096c9edb,8,1,6.743252,1.299177,6.834235,1.132918,0
n2_chain_096c9edb,9,0,5.947017,0.783353,6.426893,0.763361,0
n2_chain_096c9edb,9,1,6.834235,1.132918,0.950918,4.518102,1
n2_chain_096c9edb,10,0,6.426893,0.763361,8.428389,7.477499,1
n2_chain_096c9edb,10,1,6.433642,1.916210,0.950918,4.518102,2
n2_chain_096c9edb,11,0,6.426893,0.763361,8.428389,7.477499,1
n2_chain_096c9edb,11,1,5.980452,3.027265,0.950918,4.518102,2
n2_chain_096c9edb,12,0,6.483210,1.481156,8.428389,7.477499,2
n2_chain_096c9edb,12,1,5.292794,3.995612,0.950918,4.518102,2
n2_chain_096c9edb,13,0,6.593995,2.675670,8.428389,7.477499,2
n2_chain_096c9edb,13,1,4.179676,4.406833,0.950918,4.518102,2
n2_chain_096c9edb,14,0,6.845497,3.625357,8.428389,7.477499,2
n2_chain_096c9edb,14,1,2.983780,4.497953,0.950918,4.518102,2
n2_chain_096c9edb,15,0,7.737985,4.423231,8.428389,7.477499,2
n2_chain_096c9edb,15,1,1.783941,4.515102,0.950918,4.518102,2
n2_chain_096c9edb,16,0,8.180378,5.338356,8.428389,7.477499,2
n2_chain_096c9edb,16,1,0.950918,4.518102,0.950918,4.518102,3
n2_chain_096c9edb,17,0,8.320963,6.530087,8.428389,7.477499,2
n2_chain_096c9edb,17,1,0.950918,4.518102,0.950918,4.518102,3
n2_chain_5849f8ee,0,0,9.189092,1.095031,9.315886,10.964158,0
n2_chain_5849f8ee,0,1,4.562149,1.433842,9.844065,11.117546,0
n2_chain_5849f8ee,1,0,8.907652,2.261561,9.315886,10.964158,0
n2_chain_5849f8ee,1,1,4.843923,2.600292,9.844065,11.117546,0
n2_chain_5849f8ee,2,0,8.626212,3.428091,9.315886,10.964158,0
n2_chain_5849f8ee,2,1,5.135143,3.764369,9.844065,11.117546,0
n2_chain_5849f8ee,3,0,8.344786,4.594624,9.315886,10.964158,0
n2_chain_5849f8ee,3,1,4.826120,4.916573,9.844065,11.117546,0
n2_chain_5849f8ee,4,0,8.066973,5.760268,9.315886,10.964158,0
n2_chain_5849f8ee,4,1,4.853091,6.073260,9.844065,11.117546,0
n2_chain_5849f8ee,5,0,7.859741,6.929394,9.315886,10.964158,0
n2_chain_5849f8ee,5,1,4.781549,7.270753,9.844065,11.117546,0
n2_chain_5849f8ee,6,0,7.876948,8.129250,9.315886,10.964158,0
n2_chain_5849f8ee,6,1,5.945507,7.525271,9.844065,11.117546,0
n2_chain_5849f8ee,7,0,7.967802,9.321862,9.315886,10.964158,0
n2_chain_5849f8ee,7,1,6.867404,8.275441,9.844065,11.117546,0
n2_chain_5849f8ee,8,0,8.428858,10.241743,9.315886,10.964158,0
n2_chain_5849f8ee,8,1,7.581084,9.234982,9.844065,11.117546,0
n2_chain_5849f8ee,9,0,9.359377,10.999444,9.315886,10.964158,0
n2_chain_5849f8ee,9,1,8.370772,10.119853,9.844065,11.117546,0
n2_chain_5849f8ee,10,0,9.315886,10.964158,2.628803,2.852537,1
n2_chain_5849f8ee,10,1,8.839924,10.120556,9.844065,11.117546,0
n2_chain_5849f8ee,11,0,8.560120,10.974020,2.628803,2.852537,2
n2_chain_5849f8ee,11,1,9.424641,10.505547,9.844065,11.117546,0
n2_chain_5849f8ee,12,0,7.914525,9.964824,2.628803,2.852537,2
n2_chain_5849f8ee,12,1,9.844065,11.117546,9.945061,1.894305,1
n2_chain_5849f8ee,13,0,7.208728,8.994352,2.628803,2.852537,2
n2_chain_5849f8ee,13,1,9.844065,11.117546,9.945061,1.894305,1
n2_chain_5849f8ee,14,0,6.493662,8.030673,2.628803,2.852537,2
n2_chain_5849f8ee,14,1,10.479185,10.567948,9.945061,1.894305,2
n2_chain_5849f8ee,15,0,5.776407,7.068621,2.628803,2.852537,2
n2_chain_5849f8ee,15,1,11.271396,9.676104,9.945061,1.894305,2
n2_chain_5849f8ee,16,0,5.058634,6.106955,2.628803,2.852537,2
n2_chain_5849f8ee,16,1,11.305280,8.482191,9.945061,1.894305,2
n2_chain_5849f8ee,17,0,4.340736,5.145382,2.628803,2.852537,2
n2_chain_5849f8ee,17,1,11.264269,7.283117,9.945061,1.894305,2
n2_chain_5849f8ee,18,0,3.622808,4.183831,2.628803,2.852537,2
n2_chain_5849f8ee,18,1,11.115874,6.095999,9.945061,1.894305,2
n2_chain_5849f8ee,19,0,2.904874,3.222285,2.628803,2.852537,2
n2_chain_5849f8ee,19,1,10.820481,4.933053,9.945061,1.894305,2
n2_chain_5849f8ee,20,0,2.628803,2.852537,2.628803,2.852537,3
n2_chain_5849f8ee,20,1,10.493188,3.778556,9.945061,1.894305,2
n2_chain_5849f8ee,21,0,2.628803,2.852537,2.628803,2.852537,3
n2_chain_5849f8ee,21,1,10.158463,2.626185,9.945061,1.894305,2
n2_chain_971dcf72,0,0,7.312074,6.554602,6.437050,1.105014,0
n2_chain_971dcf72,0,1,3.809466,7.097186,6.479579,1.653368,0
n2_chain_971dcf72,1,0,7.121831,5.369779,6.437050,1.105014,0
n2_chain_971dcf72,1,1,4.975724,6.826654,6.479579,1.653368,0
n2_chain_971dcf72,2,0,6.931587,4.184955,6.437050,1.105014,0
n2_chain_971dcf72,2,1,6.093104,6.415878,6.479579,1.653368,0
n2_chain_971dcf72,3,0,6.741343,3.000131,6.437050,1.105014,0
n2_chain_971dcf72,3,1,6.544654,6.236523,6.479579,1.653368,0
n2_chain_971dcf72,4,0,6.551100,1.815307,6.437050,1.105014,0
n2_chain_971dcf72,4,1,6.552769,5.074494,6.479579,1.653368,0
n2_chain_971dcf72,5,0,6.437050,1.105014,4.015319,1.981797,1
n2_chain_971dcf72,5,1,6.574135,3.876982,6.479579,1.653368,0
n2_chain_971dcf72,6,0,6.437050,1.105014,4.015319,1.981797,2
n2_chain_971dcf72,6,1,6.581289,2.690673,6.479579,1.653368,0
n2_chain_971dcf72,7,0,5.308680,1.505204,4.015319,1.981797,2
n2_chain_971dcf72,7,1,6.479579,1.653368,7.494749,2.416988,1
n2_chain_971dcf72,8,0,4.182744,1.920255,4.015319,1.981797,2
n2_chain_971dcf72,8,1,6.479579,1.653368,7.494749,2.416988,1
n2_chain_971dcf72,9,0,4.015319,1.981797,4.015319,1.981797,3
n2_chain_971dcf72,9,1,7.342663,2.302587,7.494749,2.416988,2
n2_chain_fcca7b3d,0,0,2.155269,2.362686,7.223571,1.065231,0
n2_chain_fcca7b3d,0,1,3.895759,6.244033,6.862289,0.650532,0
n2_chain_fcca7b3d,1,0,2.624686,3.464060,7.223571,1.065231,0
n2_chain_fcca7b3d,1,1,4.692426,5.352149,6.862289,0.650532,0
n2_chain_fcca7b3d,2,0,3.142786,4.420888,7.223571,1.065231,0
n2_chain_fcca7b3d,2,1,5.542238,4.508020,6.862289,0.650532,0
n2_chain_fcca7b3d,3,0,4.044827,4.595911,7.223571,1.065231,0
n2_chain_fcca7b3d,3,1,5.990952,3.400345,6.862289,0.650532,0
n2_chain_fcca7b3d,4,0,5.237267,4.498123,7.223571,1.065231,0
n2_chain_fcca7b3d,4,1,6.351044,2.255679,6.862289,0.650532,0
n2_chain_fcca7b3d,5,0,5.648404,4.315157,7.223571,1.065231,0
n2_chain_fcca7b3d,5,1,6.758084,1.130346,6.862289,0.650532,0
n2_chain_fcca7b3d,6,0,6.229840,3.271596,7.223571,1.065231,0
n2_chain_fcca7b3d,6,1,6.862289,0.650532,3.991694,4.767228,1
n2_chain_fcca7b3d,7,0,6.734728,2.207250,7.223571,1.065231,0
n2_chain_fcca7b3d,7,1,6.862289,0.650532,3.991694,4.767228,1
n2_chain_fcca7b3d,8,0,7.193488,1.140629,7.223571,1.065231,0
n2_chain_fcca7b3d,8,1,6.128518,0.969911,3.991694,4.767228,2
n2_chain_fcca7b3d,9,0,7.198471,1.182577,1.967930,6.645551,2
n2_chain_fcca7b3d,9,1,5.753525,2.082852,3.991694,4.767228,2
n2_chain_fcca7b3d,10,0,6.691729,2.270305,1.967930,6.645551,2
n2_chain_fcca7b3d,10,1,5.674128,3.279801,3.991694,4.767228,2
n2_chain_fcca7b3d,11,0,6.181332,3.356141,1.967930,6.645551,2
n2_chain_fcca7b3d,11,1,5.603098,4.440959,3.991694,4.767228,2
n2_chain_fcca7b3d,12,0,5.601415,4.399364,1.967930,6.645551,2
n2_chain_fcca7b3d,12,1,4.584465,4.971347,3.991694,4.767228,2
n2_chain_fcca7b3d,13,0,4.813894,5.035625,1.967930,6.645551,2
n2_chain_fcca7b3d,13,1,3.779367,4.706891,3.991694,4.767228,2
n2_chain_fcca7b3d,14,0,3.772797,5.632359,1.967930,6.645551,2
n2_chain_fcca7b3d,14,1,3.926359,4.683302,3.991694,4.767228,2
n2_chain_fcca7b3d,15,0,2.726768,6.220424,1.967930,6.645551,2
n2_chain_fcca7b3d,15,1,3.991694,4.767228,3.991694,4.767228,3
n2_fork_5e5d8778,0,0,4.709724,8.104992,9.554584,4.061211,0
n2_fork_5e5d8778,0,1,1.320747,2.879286,11.479306,2.438936,0
n2_fork_5e5d8778,1,0,5.630991,7.336053,9.554584,4.061211,0
n2_fork_5e5d8778,1,1,2.303640,2.190878,11.479306,2.438936,0
n2_fork_5e5d8778,2,0,6.552258,6.567114,9.554584,4.061211,0
n2_fork_5e5d8778,2,1,3.329811,1.571685,11.479306,2.438936,0
n2_fork_5e5d8778,3,0,7.473525,5.798175,9.554584,4.061211,0
n2_fork_5e5d8778,3,1,4.469101,1.332674,11.479306,2.438936,0
n2_fork_5e5d8778,4,0,8.394792,5.029236,9.554584,4.061211,0
n2_fork_5e5d8778,4,1,5.668975,1.348107,11.479306,2.438936,0
n2_fork_5e5d8778,5,0,9.316059,4.260297,9.554584,4.061211,0
n2_fork_5e5d8778,5,1,6.867104,1.412582,11.479306,2.438936,0
n2_fork_5e5d8778,6,0,9.554584,4.061211,2.565122,7.020096,1
n2_fork_5e5d8778,6,1,8.061816,1.524870,11.479306,2.438936,0
n2_fork_5e5d8778,7,0,9.002055,4.295116,2.565122,7.020096,2
n2_fork_5e5d8778,7,1,9.247281,1.706270,11.479306,2.438936,0
n2_fork_5e5d8778,8,0,7.896996,4.762926,2.565122,7.020096,2
n2_fork_5e5d8778,8,1,10.396287,2.050207,11.479306,2.438936,0
n2_fork_5e5d8778,9,0,6.791938,5.230736,2.565122,7.020096,2
n2_fork_5e5d8778,9,1,11.351965,2.391249,11.479306,2.438936,0
n2_fork_5e5d8778,10,0,5.686880,5.698546,2.565122,7.020096,2
n2_fork_5e5d8778,10,1,11.479306,2.438936,2.400463,4.477837,1
n2_fork_5e5d8778,11,0,4.581822,6.166356,2.565122,7.020096,2
n2_fork_5e5d8778,11,1,10.901329,2.868289,2.400463,4.477837,2
n2_fork_5e5d8778,12,0,3.476763,6.634166,2.565122,7.020096,2
n2_fork_5e5d8778,12,1,9.913602,3.546997,2.400463,4.477837,2
n2_fork_5e5d8778,13,0,2.565122,7.020096,2.565122,7.020096,3
n2_fork_5e5d8778,13,1,8.812539,3.969872,2.400463,4.477837,2
n2_fork_5e5d8778,14,0,2.565122,7.020096,2.565122,7.020096,3
n2_fork_5e5d8778,14,1,7.627501,4.158459,2.400463,4.477837,2
n2_fork_5e5d8778,15,0,2.565122,7.020096,2.565122,7.020096,3
n2_fork_5e5d8778,15,1,6.447586,4.343718,2.400463,4.477837,2
n2_fork_5e5d8778,16,0,2.565122,7.020096,2.565122,7.020096,3
n2_fork_5e5d8778,16,1,5.248227,4.382934,2.400463,4.477837,2
n2_fork_5e5d8778,17,0,2.565122,7.020096,2.565122,7.020096,3
n2_fork_5e5d8778,17,1,4.048892,4.422867,2.400463,4.477837,2
n2_fork_5e5d8778,18,0,2.565122,7.020096,2.565122,7.020096,3
n2_fork_5e5d8778,18,1,2.849558,4.462860,2.400463,4.477837,2
n2_fork_d159b296,0,0,6.419847,4.353982,5.659994,3.560613,0
n2_fork_d159b296,0,1,8.682614,1.859561,4.500304,9.323553,0
n2_fork_d159b296,1,0,5.797328,3.704004,5.659994,3.560613,0
n2_fork_d159b296,1,1,7.972430,2.818185,4.500304,9.323553,0
n2_fork_d159b296,2,0,5.659994,3.560613,8.900775,0.546610,1
n2_fork_d159b296,2,1,7.224682,3.756705,4.500304,9.323553,0
n2_fork_d159b296,3,0,6.011481,3.233722,8.900775,0.546610,2
n2_fork_d159b296,3,1,6.487790,4.703799,4.500304,9.323553,0
n2_fork_d159b296,4,0,6.890196,2.416496,8.900775,0.546610,2
n2_fork_d159b296,4,1,5.790885,5.679637,4.500304,9.323553,0
n2_fork_d159b296,5,0,7.768912,1.599269,8.900775,0.546610,2
n2_fork_d159b296,5,1,5.254506,6.750677,4.500304,9.323553,0
n2_fork_d159b296,6,0,8.647627,0.782043,8.900775,0.546610,2
n2_fork_d159b296,6,1,5.150730,7.934549,4.500304,9.323553,0
n2_fork_d159b296,7,0,8.900775,0.546610,8.900775,0.546610,3
n2_fork_d159b296,7,1,4.761982,9.028261,4.500304,9.323553,0
n2_fork_d159b296,8,0,8.900775,0.546610,8.900775,0.546610,3
n2_fork_d159b296,8,1,4.500304,9.323553,5.117032,7.032645,1
n2_fork_d159b296,9,0,8.900775,0.546610,8.900775,0.546610,3
n2_fork_d159b296,9,1,4.500304,9.323553,5.117032,7.032645,2
n2_fork_d159b296,10,0,8.900775,0.546610,8.900775,0.546610,3
n2_fork_d159b296,10,1,4.812246,8.164807,5.117032,7.032645,2
n2_none_1b1c65a3,0,0,7.975593,9.349720,9.376147,8.445763,0
n2_none_1b1c65a3,0,1,7.561489,3.340431,8.943558,8.106106,0
n2_none_1b1c65a3,1,0,8.983826,8.698978,9.376147,8.445763,0
n2_none_1b1c65a3,1,1,8.010167,4.452641,8.943558,8.106106,0
n2_none_1b1c65a3,2,0,9.376147,8.445763,6.848003,3.192630,1
n2_none_1b1c65a3,2,1,8.116159,5.636192,8.943558,8.106106,0
n2_none_1b1c65a3,3,0,9.328776,8.088973,6.848003,3.192630,2
n2_none_1b1c65a3,3,1,8.113505,6.798336,8.943558,8.106106,0
n2_none_1b1c65a3,4,0,8.910081,6.964565,6.848003,3.192630,2
n2_none_1b1c65a3,4,1,8.223706,7.816663,8.943558,8.106106,0
n2_none_1b1c65a3,5,0,8.526720,5.827457,6.848003,3.192630,2
n2_none_1b1c65a3,5,1,8.943558,8.106106,7.543318,9.389667,1
n2_none_1b1c65a3,6,0,8.048258,4.729912,6.848003,3.192630,2
n2_none_1b1c65a3,6,1,8.855100,8.187193,7.543318,9.389667,2
n2_none_1b1c65a3,7,0,7.339509,3.769222,6.848003,3.192630,2
n2_none_1b1c65a3,7,1,7.970517,8.998066,7.543318,9.389667,2
n2_none_4e151559,0,0,1.483426,9.071432,4.319383,4.922600,0
n2_none_4e151559,0,1,4.713798,4.298640,4.298577,5.472206,0
n2_none_4e151559,1,0,2.475775,8.497823,4.319383,4.922600,0
n2_none_4e151559,1,1,4.393802,5.117621,4.298577,5.472206,0
n2_none_4e151559,2,0,3.109802,7.574143,4.319383,4.922600,0
n2_none_4e151559,2,1,4.298577,5.472206,3.940565,5.394708,1
n2_none_4e151559,3,0,3.639932,6.519225,4.319383,4.922600,0
n2_none_4e151559,3,1,4.298577,5.472206,3.940565,5.394708,1
n2_none_4e151559,4,0,3.815304,6.131626,4.319383,4.922600,0
n2_none_4e151559,4,1,3.932517,5.186307,3.940565,5.394708,2
n2_none_4e151559,5,0,4.147994,5.666435,4.319383,4.922600,0
n2_none_4e151559,5,1,3.765353,4.823460,3.940565,5.394708,2
n2_none_4e151559,6,0,4.319383,4.922600,9.328932,9.276168,1
n2_none_4e151559,6,1,3.377999,4.915537,3.940565,5.394708,2
n2_none_4e151559,7,0,4.319383,4.922600,9.328932,9.276168,1
n2_none_4e151559,7,1,3.621481,5.546116,3.940565,5.394708,2
