uid,replan_idx,agent,pos_x,pos_y,sg_x,sg_y,phase
n2_chain_0bbc5f6a,0,0,3.788066,7.483039,4.780996,1.281603,0
n2_chain_0bbc5f6a,0,1,1.519548,5.311119,6.433414,3.897090,0
n2_chain_0bbc5f6a,1,0,2.822531,6.861899,4.780996,1.281603,0
n2_chain_0bbc5f6a,1,1,1.735683,4.209968,6.433414,3.897090,0
n2_chain_0bbc5f6a,2,0,2.698985,5.836917,4.780996,1.281603,0
n2_chain_0bbc5f6a,2,1,2.721251,3.683843,6.433414,3.897090,0
n2_chain_0bbc5f6a,3,0,2.801156,4.648236,4.780996,1.281603,0
n2_chain_0bbc5f6a,3,1,3.920052,3.674805,6.433414,3.897090,0
n2_chain_0bbc5f6a,4,0,3.286052,3.964532,4.780996,1.281603,0
n2_chain_0bbc5f6a,4,1,5.116337,3.768188,6.433414,3.897090,0
n2_chain_0bbc5f6a,5,0,4.165000,3.170719,4.780996,1.281603,0
n2_chain_0bbc5f6a,5,1,5.987167,3.839093,6.433414,3.897090,0
n2_chain_0bbc5f6a,6,0,4.548970,2.034086,4.780996,1.281603,0
n2_chain_0bbc5f6a,6,1,5.987167,3.839093,6.433414,3.897090,0
n2_chain_0bbc5f6a,7,0,4.780996,1.281603,6.356310,2.645652,1
n2_chain_0bbc5f6a,7,1,5.987167,3.839093,6.433414,3.897090,0
n2_chain_0bbc5f6a,8,0,5.234583,1.674360,6.356310,2.645652,2
n2_chain_0bbc5f6a,8,1,6.433414,3.897090,3.222260,4.128838,1
n2_chain_0bbc5f6a,9,0,6.223906,2.348990,6.356310,2.645652,2
n2_chain_0bbc5f6a,9,1,6.433414,3.897090,3.222260,4.128838,1
n2_chain_0bbc5f6a,10,0,6.356310,2.645652,6.356310,2.645652,3
n2_chain_0bbc5f6a,10,1,5.834970,3.940279,3.222260,4.128838,2
n2_chain_0bbc5f6a,11,0,6.356310,2.645652,6.356310,2.645652,3
n2_chain_0bbc5f6a,11,1,4.638083,4.026658,3.222260,4.128838,2
n2_chain_0bbc5f6a,12,0,6.356310,2.645652,6.356310,2.645652,3
n2_chain_0bbc5f6a,12,1,3.441196,4.113037,3.222260,4.128838,2
n2_chain_5aa18f01,0,0,9.108455,2.803939,6.426893,0.763361,0
n2_chain_5aa18f01,0,1,8.812330,9.430222,6.392987,4.019106,0
n2_chain_5aa18f01,1,0,8.632086,3.566580,6.426893,0.763361,0
n2_chain_5aa18f01,1,1,8.421130,8.454066,6.392987,4.019106,0
n2_chain_5aa18f01,2,0,7.441987,3.573446,6.426893,0.763361,0
n2_chain_5aa18f01,2,1,8.191979,7.278999,6.392987,4.019106,0
n2_chain_5aa18f01,3,0,6.792968,3.518384,6.426893,0.763361,0
n2_chain_5aa18f01,3,1,8.125147,6.081170,6.392987,4.019106,0
n2_chain_5aa18f01,4,0,6.569423,2.508832,6.426893,0.763361,0
n2_chain_5aa18f01,4,1,8.008643,4.890562,6.392987,4.019106,0
n2_chain_5aa18f01,5,0,6.434179,1.356694,6.426893,0.763361,0
n2_chain_5aa18f01,5,1,7.361617,4.122387,6.392987,4.019106,0
n2_chain_5aa18f01,6,0,6.432419,1.213327,6.426893,0.763361,0
n2_chain_5aa18f01,6,1,6.392987,4.019106,0.950918,4.518102,1
n2_chain_5aa18f01,7,0,6.432419,1.213327,6.426893,0.763361,0
n2_chain_5aa18f01,7,1,6.392987,4.019106,0.950918,4.518102,1
n2_chain_5aa18f01,8,0,6.426893,0.763361,8.428389,7.477499,1
n2_chain_5aa18f01,8,1,5.317498,4.117720,0.950918,4.518102,2
