uid,replan_idx,agent,pos_x,pos_y,sg_x,sg_y,phase
n2_chain_310849fd,0,0,1.537251,0.576866,2.011884,3.210243,0
n2_chain_310849fd,0,1,7.192459,1.865031,2.388033,3.611506,0
n2_chain_310849fd,1,0,1.750106,1.757837,2.011884,3.210243,0
n2_chain_310849fd,1,1,5.992670,1.887556,2.388033,3.611506,0
n2_chain_310849fd,2,0,1.962961,2.938808,2.011884,3.210243,0
n2_chain_310849fd,2,1,4.792882,1.910080,2.388033,3.611506,0
n2_chain_310849fd,3,0,2.011884,3.210243,4.138982,6.954172,1
n2_chain_310849fd,3,1,3.716945,1.973803,2.388033,3.611506,0
n2_chain_310849fd,4,0,2.372938,3.686307,4.138982,6.954172,2
n2_chain_310849fd,4,1,2.944858,2.654648,2.388033,3.611506,0
n2_chain_310849fd,5,0,3.121366,4.623956,4.138982,6.954172,2
n2_chain_310849fd,5,1,2.388033,3.611506,5.970064,1.332760,1
n2_chain_310849fd,6,0,3.698292,5.670077,4.138982,6.954172,2
n2_chain_310849fd,6,1,2.388033,3.611506,5.970064,1.332760,1
n2_chain_310849fd,7,0,4.111477,6.794296,4.138982,6.954172,2
n2_chain_310849fd,7,1,2.842166,2.766220,5.970064,1.332760,2
n2_chain_310849fd,8,0,4.138982,6.954172,4.138982,6.954172,3
n2_chain_310849fd,8,1,3.542040,1.941345,5.970064,1.332760,2
n2_chain_310849fd,9,0,4.138982,6.954172,4.138982,6.954172,3
n2_chain_310849fd,9,1,4.701037,1.631030,5.970064,1.332760,2
n2_chain_310849fd,10,0,4.138982,6.954172,4.138982,6.954172,3
n2_chain_310849fd,10,1,5.869170,1.356332,5.970064,1.332760,2
n2_chain_6e33da4f,0,0,7.255916,0.750464,6.985458,6.430900,0
n2_chain_6e33da4f,0,1,2.261327,7.453998,7.293593,3.589510,0
n2_chain_6e33da4f,1,0,7.198846,1.949106,6.985458,6.430900,0
n2_chain_6e33da4f,1,1,3.060315,6.563331,7.293593,3.589510,0
n2_chain_6e33da4f,2,0,7.141776,3.147748,6.985458,6.430900,0
n2_chain_6e33da4f,2,1,3.653456,5.520786,7.293593,3.589510,0
n2_chain_6e33da4f,3,0,7.084706,4.346390,6.985458,6.430900,0
n2_chain_6e33da4f,3,1,4.265465,4.497003,7.293593,3.589510,0
